Incident Description,Risk Level
"Armed men in a tricycle robbed people beside the Golden Guinea Breweries along the Aba Road in Aba South LGA, Abia State. Residents caught the criminals and attempted to set them on fire, but community elders intervened and rescued the criminals.",high
"Two armed robbers boarded a commercial tricycle and robbed another passenger around Ezilo Avenue, Independence Layout, Enugu North LGA, Enugu State.",high
"Members of the Aiye (Black Axe) gang attacked and injured a Viking gang member at Amaraku in Isiala Mbano LGA, Imo State.",high
"A gang member was shot and killed in Ihiala, Ihiala LGA, Anambra State.",high
"There was a violent clash between Aye and Vikings cult gangs in Awka North LGA, Anambra State. One person was killed.",high
"Gunmen abducted a clergyman from his vehicle in Uga, Aguata LGA, Anambra State.",high
"Armed gang members killed a rival gang member along the Poultry Road in Ekpoma, Esan West LGA, Edo State.",high
"Unidentified armed men killed a police inspector in the Rumuolemeni area of Port Harcourt LGA, Rivers State.",high
"There was a violent clash between Eiye gang members along the Arbor Road Bypass in Benin City, Oredo LGA, Edo State. An unspecified number of gang members were injured.",high
"Increased tensions were reported in Auchi metropolis, Etsako West LGA, Edo State, following gang clashes in the area.",high
"A gang member was shot and killed by a rival gang member along the Ekenwa Barracks Road, Benin City, Oredo LGA, Edo State.",high
"There was a violent clash between the Aiye and the Eiye cult gangs in Auchi, Etsako West LGA, Edo State. At least one person was killed.",high
"There was a violent clash between Icelanders and Green Landers armed gangs in Ahoada, Ahoada West LGA, Rivers State. Two gang members were killed. The incident started on the 19Apr24.",high
"There was a violent clash between Vikings and Eiye armed gangs in Ibillo, Akoko-Edo LGA, Edo State. One gang member was killed.",high
"Increased tensions were reported in Ile-Ife, following the killing of an Eiye gang member around the Pedro area in Ile-Ife, Ife Central LGA, Osun State, during a clash between Eiye and Aiye cult gangs on 24Apr24. Eiye gang members were reportedly sighted in Ile-Ife for a planned reprisal attack over the killing of their member. ",high
"There was a violent clash between the Aiye and Eiye cult gang members around the Pedro area of Ile Ife, Ife Central LGA, Osun State. One person was killed.",high
"There was a violent clash between the Aiye and Eiye cult gang members in Fajol, Obantoko, Odeda LGA, Ogun State. One person was killed.",high
"There was a violent clash between the Buccaneers and Eiye gang members in Igando, Alimosho LGA, Lagos State. No further details.",high
"Increased tensions were reported around Ajah market and Ajah Underbridge, following a violent clash between the Aiye and the Eiye cult gangs in the Ilaje area, Ajah in Eti-Osa LGA, Lagos State.",high
"There was a violent clash between the Aiye and the Eiye gangs in the Iyana Oba area, Ojo LGA, Lagos State. One person was killed.",high
"There was a violent clash between the Aiye and the Eiye gangs in the Okoya area in Ojo LGA, Lagos State. One person was killed.",high
"Students attending the Ladoke Akintola University of Technology (LAUTECH) in Ogbomoso, Ogbomoso North LGA, Oyo State, held a protest following the death of a student and injury of two others from gunfire by a policeman trying to resolve a dispute between two individuals. The protesters blocked the school gate, demanding justice for the victim.",high
"There was a violent clash between Aiye and Eiye armed gangs at Itire Bus Stop in Ajegunle, Ajeromi Ifelodun LGA, Lagos State. One gang member was killed, and one other was injured.",high
"There was a violent clash between two groups of students of the Ladoke Akintola University (LAUTECH) celebrating the institution’s convocation ceremony at a nightclub around the main campus in Ogbomoso, Ogbomoso North LGA, Oyo State. Policemen were deployed to the area and fired shots to restore order. One student was killed by a stray bullet, and an unspecified number of students were injured.",high
"There was a violent clash between rival armed gangs in the Apasa and Safejo areas of Ajeromi Ifelodun LGA, Lagos State. One person was killed.",high
"There was a violent clash between Aiye and Eiye armed gangs in the Alogi area of Obantoko, Odeda LGA, Ogun State. One person was killed.",high
"There was a violent clash between Aiye and Eiye armed gangs in the Bode Olude area of Abeokuta South LGA, Ogun State. One person was killed.",high
"Party members assaulted the Ondo State Commissioner for Health at Ugbo Ward 3 in Ilaje LGA, Ondo State, for allegedly hiding the All Progressive Congress (APC) governorship aspirant result sheet during the party’s primary elections.",high
"At least eight gunmen attacked an event center along the Sagamu Road in Iperu-Remo, Ikenne LGA, Ogun State. A professor of Babcock University was shot and killed for resisting abduction, and two people were abducted. One of the gunmen was later arrested.",high
"Gunmen attacked a commercial bus at the Maya axis of the Lanlate-Eruwa Road, Ibarapa East LGA, Oyo State, and abducted at least 15 people including a clergyman. UPDATE: 21Apr24 – The clergyman was released.",high
"Gunmen fired indiscriminately and abducted four people in Bmuko community, Dutse Baupma, Bwari Area Council, Abuja.",high
"A Coalition of Civil Society Organizations (CSOs), including Project PinkBlue, the National Action on Sugar Reduction (NASR), and the Diabetes Association of Nigeria (DAN), held a protest at the headquarters of the National Agency for Food and Drug Administration and Control (NAFDAC) in Wuse Zone 7, AMAC, Abuja, over the inclusion of sugar in baby formula in the country. The protest followed a recent report by a United Kingdom newspaper that a notable consumer goods company was adding sugar into baby formula and cereals released into Nigeria and African markets.",high
"The Association of Resident Doctors at the Federal Teaching Hospital Lokoja held a protest at the hospital in Kogi LGA, Kogi State, over the shortage of manpower and unfavourable employment policies implemented by the hospital’s management.",high
"Gunmen attacked Ajokpachi Odo community in Omala LGA, Kogi State. Three people (youths on surveillance duty in the area) were shot and killed, and motorcycles, food supplies, and other valuables were stolen.",high
"“Aiye” cult gang members killed a member of the “Eiye” cult gang in Ilorin West LGA, Kwara State.",high
"Suspected herders killed two people (relatives) in Ogbaulu community, Agatu LGA, Benue State.",high
"Troops of Operation WHIRL PUNCH air component carried out clearance operations at bandits’ hideouts in the Allawa forest area in Shiroro LGA, Niger State. An unspecified number of bandits were killed.",high
"Bandits attacked Allawa Community in Shiroro LGA, Niger State, and looted food supplies and other valuables.",high
"There was a violent clash between members of the “Aiye” and “Vikings” cult gangs in Bida Street, Makurdi, Makurdi LGA, Benue State. An unspecified number of people were killed.",high
"Traders at the Maiduguri Fish Market in Maiduguri LGA, Borno State, held a protest over the alleged continued tenure of leaders of the market’s Fish Producers and Marketers Association. The protesters accused the leadership of refusing to call for a fresh election and staying for 21 years instead of the prescribed eight years of two-term tenure contained in the association’s constitution.",high
"Suspected repentant AOG insurgents attacked the Kasuwan Fara Divisional Police Office in Maiduguri LGA, Borno State, in an attempt to set free eight of their colleagues arrested on 24Apr24. The attack resulted in a firefight with officers of the division until they withdrew. The repentant insurgents subsequently attacked the National Drug Law Enforcement Agency (NDLEA) and the Nigeria Customs Service (NCS) checkpoints at Kasuwan Fara and set all the structures at the checkpoints on fire.",high
"GSF personnel engaged bandits in a firefight along the Chafe-Gusau Road, Chafe LGA, Zamfara State. An unspecified number of bandits were killed, and abductees were rescued.",high
"GSF personnel conducted clearance operations at bandit hideouts located in Yandoto, Fegin Baza, Dan Marke and Gidan Dawa, Chafe LGA, Zamfara State. An unspecified number of bandits were killed.",high
"Troops of Operation “HADARIN DAJI” supported by the Zamfara State Community Protection Guard conducted clearance operations at a bandits’ hideout in the vicinity of Magazu, Chafe LGA, Zamfara State. An unspecified number of bandits including their leader were killed.",high
"Bandits dressed in women clothes and Zamfara State Community Protection Guards (CPG) uniforms attacked Zurmi LGA, Zamfara State. One person was killed, and one CPG member was injured.",high
"Vigilantes killed four alleged bandits’ informants in Zurmi LGA, Zamfara State.",high
"Bandits fired indiscriminately at a vehicle at Dogon-Fili along the Abuja-Kaduna Highway in Kachia LGA, Kaduna State. The driver of the vehicle was killed, and two people were abducted.",high
